#example DATA
# OSU MPI Latency Test v5.3.2
# Size          Latency (us)
0                       1.2
1                       1.21
2                       1.2
4                       1.4
8                       1.4
16                      1.6
32                      1.6
64                      1.7
128                     1.7
256                     1.8
512                     1.12
1024                    1.63
2048                    1.43
4096                    2.64
8192                    3.23
16384                   5.4
32768                   6.44
